DEPT,GR,Res,CALI,RHOB
2158.5,51.49,18.207,8.005,2.438
2159,50.495,18.364,7.996,2.447
2159.5,50.411,18.984,7.983,2.43
2160,49.97,19,8.042,2.405
2160.5,48.19,18.856,8.081,2.414
2161,46.488,18.911,8.096,2.428
2161.5,46.483,18.767,8.039,2.435
2162,47.816,18.601,8.038,2.432
2162.5,48.561,18.296,8.045,2.426
2163,49.5,17.849,8.071,2.429
2163.5,49.81,17.523,8.051,2.431
2164,50.435,17.258,8.029,2.42
2164.5,50.35,17.011,8.065,2.42
2165,50.385,16.967,8.067,2.426
2165.5,51.245,16.963,8.106,2.427
2166,52.107,16.959,8.073,2.43
2166.5,52.022,17.137,8.048,2.425
2167,51.779,17.716,8.191,2.421
2167.5,50.985,18.638,8.174,2.429
2168,48.413,19.781,8.005,2.413
2168.5,46.752,20.904,7.952,2.398
2169,46.232,21.585,7.931,2.414
2169.5,45.279,22.506,8.038,2.425
2170,43.498,23.328,8.049,2.42
2170.5,41.678,25.236,7.952,2.415
2171,40.765,27.325,7.803,2.402
2171.5,40.008,28.671,7.802,2.394
2172,39.648,29.311,7.721,2.41
2172.5,38.497,29.729,7.644,2.424
2173,37.664,29.746,7.623,2.422
2173.5,37.183,29.319,7.662,2.406
2174,37.178,28.77,7.704,2.403
2174.5,37.172,28.344,7.704,2.366
2175,37.954,28.28,7.802,2.357
2175.5,39.171,28.577,7.877,2.364
2176,41.058,29.318,7.764,2.366
2176.5,43.499,29.072,7.899,2.344
2177,46.805,23.835,8.018,2.347
2177.5,49.088,20.228,8.017,2.343
2178,50.463,13.964,7.972,2.319
2178.5,54.716,10.558,7.963,2.31
2179,60.075,8.018,7.974,2.341
2179.5,63.738,6.484,7.925,2.386
2180,68.071,5.575,7.72,2.397
2180.5,77.532,4.926,7.839,2.396
2181,85.377,4.459,7.958,2.429
2181.5,93.655,4.214,8.125,2.466
2182,95.82,4.11,8.224,2.455
2182.5,95.379,4.044,8.111,2.419
2183,94.071,4.061,7.994,2.452
2183.5,92.33,4.44,8.2,2.472
2184,90.074,5.16,8.251,2.465
2184.5,85.492,6.141,8.118,2.472
2185,83.001,7.043,7.945,2.455
2185.5,80.036,7.784,7.864,2.494
2186,78.137,8.525,7.995,2.542
2186.5,73.554,9.005,8.014,2.514
2187,70.55,9.363,7.945,2.489
2187.5,69.164,9.843,8.192,2.489
2188,69.355,10.421,8.143,2.49
2188.5,71.479,10.8,7.982,2.484
2189,73.603,11.239,7.909,2.464
2189.5,74.268,11.638,8.036,2.481
2190,74.341,12.338,8.087,2.474
2190.5,70.863,13.239,8.07,2.488
2191,67.149,13.639,8.113,2.485
2191.5,64.421,14.499,8.004,2.474
2192,58.892,15.904,7.831,2.445
2192.5,54.271,17.108,7.95,2.42
2193,52.49,18.03,8.037,2.393
2193.5,51.537,18.408,7.94,2.404
2194,51.374,18.304,7.862,2.415
2194.5,50.972,18.28,7.997,2.394
2195,49.861,19.443,7.912,2.383
2195.5,47.883,21.109,7.895,2.356
2196,45.233,22.776,7.906,2.336
2196.5,42.399,23.859,8.005,2.35
2197,41.395,23.997,7.98,2.351
2197.5,42.512,23.569,7.879,2.342
2198,43.83,22.176,7.858,2.349
2198.5,45.067,21.489,7.973,2.347
2199,46.464,21.042,7.888,2.369
2199.5,46.701,20.916,7.875,2.394
2200,46.738,20.973,7.994,2.369
2200.5,46.414,21.17,7.977,2.343
2201,46.011,21.79,7.996,2.376
2201.5,46.087,23.356,7.927,2.387
2202,47.444,25.505,7.69,2.383
2202.5,48.962,26.066,7.825,2.385
2203,50.239,25.537,7.944,2.385
2203.5,52.796,23.943,7.955,2.382
2204,53.554,17.84,7.958,2.38
2204.5,54.03,13.126,8.028,2.378
2205,55.147,10.968,8.039,2.389
2205.5,57.384,9.112,7.982,2.369
2206,59.782,8.002,7.957,2.385
2206.5,68.302,7.334,8.04,2.418
2207,72.22,6.565,8.031,2.458
2207.5,74.538,5.957,8.158,2.494
2208,76.536,5.933,8.157,2.504
2208.5,76.532,6.654,8.048,2.524
2209,73.727,7.857,8.059,2.499
2209.5,68.322,9.362,8.226,2.46
2210,64.877,11.492,8.097,2.461
2210.5,62.673,12.877,7.976,2.47
2211,58.108,17.462,7.983,2.46
2211.5,53.262,21.463,7.974,2.42
2212,51.819,23.312,7.865,2.393
2212.5,51.175,24.414,7.82,2.386
2213,51.053,24.753,7.911,2.391
2213.5,51.809,23.944,7.854,2.395
2214,52.206,22.652,7.884,2.41
2214.5,53.163,22.768,7.967,2.406
2215,53.44,21.596,7.959,2.421
2215.5,54.037,21.25,7.913,2.414
2216,54.433,21.086,7.92,2.401
2216.5,54.23,21.063,7.943,2.406
2217,52.386,20.594,7.954,2.418
2217.5,50.542,20.51,7.957,2.395
